источники;Sources;来源
цирконий;zirconium;锆
картинка граничное условие трр;Picture The boundary condition of the TPP;图TPP边界条件
давление, кгс/см²;Pressure, kgf / cm²;压力，公斤力/平方厘米
энтальпия, ккал/кг;Enthalpy, kcal / kg;热函，千卡/千克
теплоноситель;Coolant;冷却液
масло;Oil;油
картинка подпитка в узел трр;Picture Feed to TPP unit;图片传送至 TPP 装置
расход, кг/с;Consumption, kg / s;消耗量，公斤/秒
количество участков;Number of plots;地块数量
прямое местное сопротивление;Direct local resistance;直接局部阻力
обратное местное сопротивление;Reverse local resistance;反向局部电阻
приращения z;Increments Z;增量 Z
степени очистки (0..1);Degrees of purification (0..1);净化度 (0..1)
шероховатость 1-й структуры;Roughness of the 1st structure;第一结构的粗糙度
тепловая связь;Thermal connection;热连接
массив элементов тепловой связ;Array of thermal connection elements;热连接元件阵列
начальный расход, кг/с;Initial consumption, kg / s;初始消耗，公斤/秒
номера выводимых элементов;Numbers of output elements;输出元件数量
фиктивный канал tpp;TPP dummy channel;TPP虚拟通道
гидростатический напор канала;Hydrostatic head of the channel;通道静水压头
гидравлический комплекс трения;Hydraulic friction complex;液压摩擦复合体
гидравлический комплекс l/f;Hydraulic complex L / F;液压综合体 L/F
напор насоса, кгс/см²;Pump head, kgf / cm;泵头，kgf/cm
энтальпия на выходе из канала, ккал/кг;Enthalpy at the outlet from the channel, kcal / kg;通道出口处的焓，kcal/kg
концентрация пассивной примеси (бора) на выходе из канала;Concentration of a passive impurity (boron) at the outlet from the channe;通道出口处被动杂质（硼）的浓度
тепловой поток от стенки канала, вт/м;Heat flow from the duct wall, W / m;来自风管壁的热流量，W/m
температура на выходе из канала,;Temperature at the exit from the channel,;通道出口温度，
давление на входе в канал, кгс/см²;Inlet pressure in the channel, kgf / cm;通道入口压力，kgf/cm
давление на выходе из канала, кгс/см²;Pressure at the exit from the channel, kgf / cm;通道出口压力，kgf/cm
энтальпия на входе в канал, ккал/кг;Enthalpy at the entrance to the channel, kcal / kg;通道入口处的焓，kcal/kg
температура на входе в канал, с;The temperature at the entrance to the channel,;通道入口处的温度，
концентрация бора на входе в канал;Concentration of boron at the entrance to the channel;通道入口处的硼浓度
количество трубок;Number of tubes;管数
диаметр трубы, м;Pipe diameter, m;管道直径，米
длина трубы, м;Pipe length, m;管道长度，米
тип решётки;Type of grate;炉排类型
шаг решётки;Grid pitch;网格间距
перепад высот, м;Vertical drop, m;垂直落差，米
количество тепловых связей;Number of thermal bond;热粘合数量
толщина стенки для тепловых связей,;Wall thickness for thermal bonds,;热粘合壁厚，
шероховатости для тепловых связей;Roughness for thermal bondin;热粘合粗糙度
доля площади теплообмена по тепловым структурам;Share of Heat Exchange Area by Thermal Structures;按热结构划分的热交换面积份额
массив элементов тепловых связе;The array of elements of thermal bonds;热键元素数组
начальный расход;Initial consumption;初始消耗
квадратная;Square;正方形
гидрозатвор трр;TRP Water Seal;TRP水封
число элементов;Number of elements;元件数量
высота гидрозатвора, м;Height of hydraulic seal, m;液压密封高度，m
диаметр, м;Diameter,;直径，
высотная отметка низа гидрозатвора,;Height mark of the bottom of the water seal, m;水封底部高度标记，m
задвижка с управлением трр;Gate valve with TPP control;带 TPP 控制的闸阀
название на схеме;Name on the diagram;图中的名字
редакция названия на схеме;Editing the name on the diagram;编辑图表上的名称
название в две строки;Name in two lines;两行名字
положение, %;Position,%;位置，％
имя файла;File name;文件名
номер элемента в канале;Element number in the channel;通道中的元素编号
имя таблицы в б;Name of the table in the database;数据库中表的名称
гильотина с протечкой;Guillotine with leakage;漏水断头台
гильотина;Guillotine;断头台
линейная_пар;Linear_parks;线性公园
линейная_по_кси;Linear_P_xy;线性_P_xy
равнопроцентная;Equal percentage;等百分比
равнопроцентная_6;Equal percentage_6;等百分比_6
равнопроцентная_7;Equal percentage_7;等百分比_7
равнопроцентная_пар;Equal percentage pairs;等百分比对
задвижка c гидроприводом тр;Gate valve with hydraulic drive TRP;液压驱动 TRP 闸阀
имя файла c характеристикой;Filename with characteristic;具有特征的文件名
насос без привода трр;Pump without TPP drive;不带 TPP 驱动器的泵
номер элемента канала;Channel element number;通道元件数量
тип расхода;Flow type;流量型
объёмный;Volume;体积
характеристика насоса;Characteristics of the pump;泵的特点
частота вращения;Rotation frequency;旋转频率
массовый;Mass;大量的
1д-630-125а;1D-630-125a;1D-630-125a
650.41_140а_01сп_1(мс);650.41_140A_01SP_1 (MS);650.41_140A_01SP_1（女士）
650.41_140а_01сп_2(бс);650.41_140А_01СП_2 (BS);650.41_140A_01SP_2（BS）
650.41_140б_сп_1(мс);650.41_140B_PP_1 (MS);650.41_140B_PP_1（女士）
650.41_140б_сп_2(бс);650.41_140B_PP_2 (BS);650.41_140B_PP_2（BS）
800в-2_5_40-0;800В-2_5_40-0;800В-2_5_40-0
b300-кэн-1;b300-KEN-1;b300-KEN-1
b300-кэн-2;b300-KEN-2;b300-KEN-2
b300-мн-а_тг;b300-MN-A_TG;b300-MN-A_TG
b300-мн-гп_роторов;b300-MN-GP_rotorov;b300-MN-GP_rotorov
b300-мн-н_тг;b300-MN-H_TG;b300-MN-H_TG
b300-мн-ф_тг;b300-MN-F_TG;b300-MN-F_TG
b300-пэн-1;b300-PEN-1;b300-PEN-1
b300-сн;b300-CH;b300-CH
ben-226_1(мс);BEN-226_1 (MS);BEN-226_1（女士）
ben-226_2(бс);BEN-226_2 (BS);BEN-226_2（BS）
балаэс-qf11d01-д4000-95;BalAES-QF11D01-D4000-95;BalAES-QF11D01-D4000-95
балаэс-ts21d01;BalAES-TS21D01;BalAES-TS21D01
балаэс-tx10d01-пэа-15-085;BalAES-TX10D01-PEA-15-085;BalAES-TX10D01-PEA-15-085
в-ц14-46-3_15-1рк1-01;B-C14-46-3_15-1RK1-01;B-C14-46-3_15-1RK1-01
вр-86-77-4вк1;VR-86-77-4VK1;VR-86-77-4VK1
вцна-1765 в;AUCA-1765 B;AUCA-1765 B
вцна-1765 г;AUCA-1765 G;AUCA-1765G
гцна-1667(ввэр-1500);ГЦНА-1667 (ВВЭР-1500);GCNA-1667 (VVER-1500)
гцна-1764 а1;ГЦНА-1764 А1;GCNA-1764 A1
гцна-1764 а3;ГЦНА-1764 А3;GCNA-1764 A3
д-2500-62а;D-2500-62a;D-2500-62A
кэна-125-55;KENA-125-55;科纳-125-55
кэна-50-55;KENA-50-55;科纳-50-55
лаэс-2-впэн;LNPP-2-VAPEN;LNPP-2 武器
лаэс-2-вр-300-45-3,15-вк3;LNPP-2-BP-300-45-3.15-BK3;LNPP-2-BP-300-45-3.15-BK3
лаэс-2-дн-сс-kcba-650-135;LNPP-2-DN-SS-KcBA-650-135;LNPP-2-DN-SS-KcBA-650-135
лаэс-2-кэн-1;LNPP-2-KEN-1;LNPP-2-KEN-1
лаэс-2-кэн-2;LNPP-2-KEN-2;LNPP-2-KEN-2
лаэс-2-мнбру-к;LNPP-2-MNBRU-K;LNPP-2-MNBRU-K
лаэс-2-мнр-нвр-50-36-72;LNPP-2-MNR-HBP-50-36-72;LNPP-2-MNR-HBP-50-36-72
лаэс-2-нмш5-25-14-25-5т2;LNPP-2-NMS5-25-14-25-5T2;LNPP-2-NMS5-25-14-25-5T2
лаэс-2-пэн;LNPP-2-PEN;LNPP-2-PEN
нвр-50-36-72;НВР-50-36-72;NVR-50-36-72
нмш5-25-1-4-25-5;NMS5-25-1-4-25-5;NMS5-25-1-4-25-5
нпнд-2;NPND-2;NPND-2
плунжерный насос;Plunger Pump;柱塞泵
свбр-100-дн_пнд-1;SVBR-100-DN_PND-1;SVBR-100-DN_PND-1
свбр-100-дн_пнд-3;SVBR-100-DN_PND-3;SVBR-100-DN_PND-3
свбр-100-дн_сс_спп;SVBR-100-DN_SS_SPP;SVBR-100-DN_SS_SPP
свбр-100-кэн-1;SVBR-100-KEN-1;SVBR-100-KEN-1
свбр-100-кэн-1_ivv;SVBR-100-KEN-1_ivv;SVBR-100-KEN-1_cont
свбр-100-мнр;SVBR-100-MNR;SVBR-100-MNR
свбр-100-пэн;SVBR-100-PEN;SVBR-100-PEN
сэ-1250-140-11;SE-1250-140-11;SE-1250-140-11
сэ-1250-70-11;SE-1250-70-11;SE-1250-70-11
сэ-500-70-11;SE-500-70-11;SE-500-70-11
цва-1800-35;CSA-1800-35;CSA-1800-35
цна60-185;CNA60-185;CNA60-185
эжектор оэ;Ejector OE;喷射器原厂设备
эжектор эв-13-450;Ejector EV-13-450;喷射器 EV-13-450
эжектор эв-13-900;Ejector EV-13-900;喷射器 EV-13-900
эжектор эв-7-200;Ejector EV-7-200;喷射器 EV-7-200
эжектор эу;Ejector;喷射器
экн_12-50;ECN_12-50;ECN_12-50
экн_125-140;ECN_125-140;ECN_125-140
экн_150-110;ECN_150-110;ECN_150-110
эпн_150-75;EPN_150-75;EPN_150-75
активный элемент трр;Active element TPP;活性元素TPP
номер элемента;Element number;元件数量
минимальный расход;Minimum flow;最小流量
характеристика элемента;Feature of the element;元素的特征
b300_пгтн;b300_PGTN;b300_PGTN
busher_цвд-1;busher_TSVD-1;Busher_TSVD-1
лаэс-2-кгтн 415-305а;LNPP-2-KGTN 415-305A;LNPP-2-KGTN 415-305A
свбр-100-кгтн;SVBR-100-KGTN;SVBR-100-KGTN
т-1;T-1;T-1
турбина;Turbine;涡轮
ротор трр;Rotor TPP;转子TPP
момент инерции ротора;Moment of inertia of the rotor;转子转动惯量
номинальная частота вращения;Rated speed;额定速度
начальная частота вращения;Starting speed;启动速度
минимальная частота вращения;Minimum speed;最低速度
массив зн-я аргумента;Array of argument zn-i;参数 zn-i 数组
массив зн-я частоты;An array of signal frequency;信号频率数组
таблица зависимости момента сопр-я (частота-строки, аргумент-столбцы);The table of the dependence of the moment of the conjunct (frequency-lines, argument-columns;合取矩的相关性表（频率线、参数列
значение аргумента для момента сопротивления;The value of the argument for the moment of resistance;抵抗时刻的论点价值
количество механических портов;Number of mechanical ports;机械端口数量
массив частоты вращения (w);Rotational speed (w) array;转速（w）数组
массив значений расходов;Array of cost values;成本值数组
напорная характеристика (частота-строки, расход-столбцы);Pressure characteristic (frequency-lines, flow-columns;压力特性（频率线、流柱
относительное сопр-е участка (частота-строки, расход-столбцы);The relative contiguity of the plot (line frequency, flow-column;绘图的相对连续性（线频率、流列
таблица кпд (частота-строки, расход-столбцы);Efficiency table (frequency-lines, flow-columns;效率表（频率线、流列
вектор момента сопротивления m(w;The vector of the moment of resistance M (w);阻力矩矢量M(w)
механический вход;Mechanical input;机械输入
номер в файле tpp;Number in the TPP file;TPP 文件中的编号
впэн;VPSN;VPSN
к-1;K-1;K-1
к-2;K-2;K-2
к-3;K-3;K-3
компрессор;Compressor;压缩机
кэн 1ст;KEN 1st;肯一号
кэн 2ст;KEN 2st;肯二号
пнд-1;HDPE-1;高密度聚乙烯-1
пнд-3;HDPE-3;高密度聚乙烯-3
пэ-580 (1-3 ступени);PE-580 (1-3 steps);PE-580（1-3步）
пэ-580 (4-8 ступени);PE-580 (4-8 steps);PE-580（4-8步）
пэ-580-185(1-3 ступени);PE-580-185 (1-3 steps);PE-580-185（1-3 步骤）
пэа 1650-80-1;PEA 1650-80-1;也许 1650-80-1
пэн;PEN;笔
сс;MOP;拖把
электровентилятор_стенд скв;Slow-motion fan;慢动作风扇
генератор трр;Generator TPP;发电机 TPP
режим;Mode;模式
идеальный;Ideal;理想的
частота задана;Frequency set;频率设定
электродвигатель трр;Electric engine TRP;电动发动机TRP
аргумент момента двигателя;Motor Torque Argument;电机扭矩参数
характеристика двигателя;Characteristics of the engine;发动机特点
пэ-580-150-1;PE-580-150-1;PE-580-150-1
пэ-580-150-2;PE-580-150-2;PE-580-150-2
пэ-580-150-3;PE-580-150-3;PE-580-150-3
пэ-580-2;PE-580-2;PE-580-2
пэ-580-3;PE-580-3;PE-580-3
пэ-580;PE-580;PE-580
цна 60-185-1;TsNA 60-185-1;TsNA 60-185-1
объём 1-й части, м³;Volume of the 1st part, m³;第一部分的体积，m³
объём 2-й части, м³;Volume of the 2nd part, m³;第二部分的体积，m³
объём 3-й части, м³;Volume of the third part, m³;第三部分的体积，m³
мольная доля гелия;The mole fraction of helium;氦气的摩尔分数
энтальпия 1-го объёма, ккал/к;Enthalpy of the 1st volume, kcal / kg;第一体积的焓，kcal/kg
коэффициент теплообмена водяного и парового объемов;Coefficient of heat exchange of water and steam volume;水与蒸汽体积的热交换系数
коэффициент перемешивания 1 и 2 объёмов;Mixing ratio 1 and 2 volumes;混合比例 1 和 2 体积
площадь сечения, м²;Sectional area, m²;截面积，平方米
площадь сечения клапана, м²;Valve area, m²;阀门面积，m²
скорость открытия клапана;Opening speed of the valve;阀门开启速度
давление открытия, кгс/см²;Opening pressure, kgf / cm²;开启压力，kgf/cm²
давление закрытия, кгс/см²;Closing pressure, kgf / cm²;关闭压力，kgf/cm²
количество тепловых портов;Number of heat ports;热口数量
конц. бора в 1-м объёме;Conc. boron in the 1st volume;浓度第一卷中的硼
гидравлический диаметр жидкого объёма,;Hydraulic diameter of liquid volume, m;液体体积水力直径，m
гидравлический диаметр газового объёма,;Hydraulic diameter of gas volume, m;气体体积水力直径，m
отметка низа ко, м;The mark of the bottom of KO, m;KO底部标记，m
количество вертикальных труб;Number of vertical pipes;垂直管道数量
занятый объём;Occupied volume;占用体积
уровень, м;Level, m;水平，米
относительная площадь теплообмена по воде;Relative area of ​​heat exchange in water;水中热交换的相对面积
относительная площадь теплообмена по пару;Relative area of ​​heat exchange by steam;蒸汽热交换的相对面积
узел компенсатора трр;Compensator assembly TPP;补偿器总成TPP
координата x;X coordinate;X坐标
координата y;Coordinate Y;坐标Y
номер объёма;Volume number;卷数
нижний водяной;Lower water;较低的水位
верхний водяной;Upper water;上层水
паровой;Steam;蒸汽
объём жидкого объёма, м³;Volume of liquid volume, m³;液体体积体积，m³
объём газового объёма, м³;Volume of gas volume, m;气体体积体积，m
энтальпия жидкого объёма, ккал/к;Enthalpy of liquid volume, kcal / k;液体体积的焓，kcal/k
энтальпия газового объёма, ккал/к;Enthalpy of gas volume, kcal / k;气体体积的焓，kcal/k
тип теплоносителя в жидком объёме;Type of coolant in liquid volum;液体体积中冷却剂类型
тип теплоносителя в газовом объёме;Type of coolant in gas volume;气体体积中的冷却剂类型
начальное давление;Initial pressure;初始压力
начальная энтальпия;Initial enthalpy;初始焓
гидравлический диаметр;Hydraulic diameter;水力直径
толщина стенки;Wall thickness;室壁厚度
проходное сечение;Feedthrough cross-section;馈入件横截面
длина участка;Length of the plot;情节长度
поверхность теплообмена;Heat transfer surface;传热面
высотная отметка;High mark;高分
тепловое граничное условие трр;Thermal boundary condition TPP;热边界条件TPP
тип гу;GG type;GG型
3-го рода (задаётся t, alfa);3rd kind (given by T, Alfa);第三类（由 T、Alfa 给出）
значения аргумента;The values ​​of the argument;参数的值
значения температуры;Temperature values;温度值
значения к-та теплоотдач;The values ​​of the heat transfer coefficient;传热系数的值
значения теплового потока;Heat flow values;热流值
аргумент гр. условия;Argument gr. conditions;参数 gr。状况
2-го рода (задаётся q);2nd kind (it is given by Q;第二类（由 Q 给出）
теплообменник кожухотрубный тип 1 трр;Heat exchanger shell-and-tube type 1 TPP;管壳式热交换器 1 型 TPP
количество элементов;Amount of elements;元素数量
длина трубки;Length of tube;管子长度
внешний диаметр трубки;Outer diameter of tube;管外径
число трубок;Number of tubes;管数
тип решетки;Grid type;网格型
шаг решетки;Lattice pitch;晶格间距
материал трубки;Tube material;管材材质
тип течения;Current type;当前类型
противоток;Countercurrent;逆流
разность высотных отметок выхода и входа трубчатки;The difference in elevation marks of the exit and entrance of the telescope;望远镜出口和入口标高标记的差异
разность высотных отметок выхода и входа межтрубья;Difference between elevation marks and exit of the pip;高程标记和点出口之间的差异
абсолютная шероховатость трубчатки;Absolute Roughness of the Ribbo;碳带的绝对粗糙度
абсолютная шероховатость межтрубь;Absolute roughness of the intertub;管间绝对粗糙度
коэффициент оребрения трубного пространств;Coefficient of finning of tube space;管空间翅片系数
коэффициент оребрения межтрубь;Coefficient of finning of the intertub;管间翅片系数
проходное сечение трубного пространства;Flow area of ​​the tube space;管空间流通面积
проходное сечение межтрубья;Transverse cross-sectio;横截面
гидравлический диаметр трубного пространства;Hydraulic diameter of pipe space;管间水力直径
гидравлический диаметр межтрубь;Hydraulic diameter of the intertube;内管水力直径
объем трубного пространства;Volume of pipe space;管道空间体积
объем межтрубного пространства;Volume of annular space;环形空间体积
прямоток;Straigh;直
теплообменник кожухотрубный тип 2 трр;Heat exchanger shell-and-tube type 2 TR;2 TR 型管壳式热交换器
теплообменник кожухотрубный чужой тип 1 тр;Exchanger shell-and-tube type 1 TPP;壳管式换热器 1 型 TPP
редактировать название;Edit Title;编辑标题
высотная отметка то;Altitude mark of maintenance;维护高度标志
напор насоса;Pump head;泵头
энтальпия на выходе из канала;The enthalpy at the exit from the channel;通道出口处的焓
тепловой поток от стенки канала;Heat flow from the duct wall;来自管道壁的热流
температура на выходе из канала;Outlet temperature;出口温度
давление на входе в кана;Pressure at the entrance to the channel;通道入口处的压力
давление на выходе из канал;Pressure at the exit from the channel;通道出口压力
энтальпия на входе в кана;Enthalpy at the entrance to the channel;通道入口处的焓
температура на входе в кана;The temperature at the entrance to the channel;通道入口温度
конденсатор односекционный трр;Condenser, single-section, TP;冷凝器，单节，TP
ручное задание свойств внутри субмодели;Manual setting of properties inside the submodel;手动设置子模型内的属性
объем парового пространства;Volume of steam space;蒸汽空间容积
площадь зеркала по пару, м;Area of ​​the mirror in pairs, m2;成对镜子面积，m2
объем конденсатосборника, м;Volume of the condensate collector, m;冷凝水收集器容积，m
площадь зеркала конденсатосборника, м2;The area of ​​the condensate collector mirror, m2;凝结水收集镜面积，m2
начальный уровень воды, м;Initial water level, m;初始水位，m
высотная отметка низа трубчатки относительно низа бака, м;Height mark of the bottom of the pipe relative to the bottom of the tank, m;管道底部相对于罐底的高度标记，m
высота трубчатки, м;Height of the pipe, m;管道高度，m
поверхность теплопередачи, м2;Surface of heat transfer, m2;传热面积，m2
внешний диаметр трубки, м;Outer diameter of the tube, m;管子外径，m
толщина стенки трубки, м;Thickness of the tube wall, m;管壁厚度，m
количество охлаждающих трубок;Number of cooling tubes;冷却管数量
число ходов по охлаждающей воде;Number of cooling water move;冷却水移动次数
коэффициент чистоты охлаждающих трубо;Coefficient of cleanliness of cooling tubes;冷却管清洁度系数
высотная отметка низа бака, м;Height mark of the bottom of the tank, m;罐底高度标记，m
номинальное давление,бар;Nominal pressure, ba;公称压力，ba
давление охлаждающей воды на входе, бар;Cooling water pressure at the inlet, bar;冷却水进口压力，bar
температура охлаждающей воды, с;Cooling water temperature,;冷却水温度，
расход охлаждающей воды в секцию 1, т/;Cooling water consumption in section 1, t / h;第1段冷却水消耗量，t/h
длина трубки, м;Length of tube,;管的长度，
гидравлический диаметр трубчатки,;Hydraulic diameter of the tube, m;管子水力直径，m
высота бака, м;Tank height, m;罐体高度，米
высота конденсатосборника;Height of condensate collecto;收集冷凝水的高度
проходное сечение по охл воде, м2;Flow cross-section for cooling water, m2;冷却水流通截面，m2
конденсатор двухсекционный трр;Capacitor two-section TR;电容二节TR
расход охлаждающей воды в секцию 2, т/;Cooling water consumption in section 2, t /;第2节冷却水耗量，t/
подогреватель поверхностного типа тип 1 трр;Surface type heater type 1 TPP;表面式加热器 1 型 TPP
контроль g,w,tin,tou,dt,dp,q,qf конденсатора тр;Control G, w, Tin, Tou, dT, dP, Q, qf of the TPP capacitor;控制TPP电容的G、w、Tin、Tou、dT、dP、Q、qf
контроль p в узле трр;Control P in the TPP node;控制TPP节点中的P
датчик давления в узле тр;The pressure sensor in the TPP unit;TPP 装置中的压力传感器
маска теплообменника 1 трр;Mask heat exchanger 1 TPP;面罩热交换器 1 TPP
название листа;Sheet Caption;工作表标题
имя листа;Sheet Name;工作表名称
плотность, кг/м³;Density, kg / m³;密度，公斤/立方米
температура, c;Temperature,;温度，
температура поверхности стенки,;The surface temperature of the wall, C;壁面温度，C
температура в центре стенки, c;Temperature at the center of the wall,;墙体中心温度，
коэффициент теплоотдачи, вт/(м²*к;Coefficient of heat transfer, W / (m² * K);传热系数，W / (m² * K)
удельный тепловой поток, вт/м²;Specific heat flow, W / m²;比热流，W/m²
концентрация бора;Concentration of boron;硼浓度
массовое паросодержание;Mass content;海量内容
объёмное паросодержание;Volumetric steam content;体积蒸汽含​​量
расход подпитки в узел, кг/;Consumption of feed to the unit, kg /;单位饲料消耗量，kg/
энтальпия подпитки в узел, ккал/к;Enthalpy of make-up per unit, kcal / k;单位补给热量，kcal/k
концентрация бора подпитки в узе;Concentration of boron in the feed;饲料中硼的浓度
температура, с;Temperature,;温度，
температура в центре стенки,;The temperature in the center of the wall, C;壁中心温度，C
массовый расход, кг/с;Mass flow, kg / s;质量流量，千克/秒
объёмный расход, м³/с;Volumetric flow, m³ / s;体积流量，m³/s
коэффициент теплопередачи к центру стенки, вт/(м²*к);Heat transfer coefficient to the center of the wall, W / (m² * K);到墙体中心的传热系数，W/(m²*K)
температура входа в участок,;The temperature of the entrance to the site, C;场地入口温度，C
полное сопротивление;Impedance;阻抗
давление на входе, кгс/см²;Inlet pressure, kgf / cm²;入口压力，kgf/cm²
энтальпия на входе, ккал/кг;Enthalpy at the inlet, kcal / kg;入口热函，kcal/kg
температура на входе, с;Inlet temperature, C;入口温度，C
концентрация на входе;Concentration at the input;输入浓度
давление на выходе, кгс/см²;Outlet pressure, kgf / cm²;出口压力，kgf/cm²
энтальпия на выходе, ккал/к;Enthalpy at the outlet, kcal / kg;出口热函，kcal/kg
температура на выходе, с;Outlet temperature, C;出口温度，C
концентрация на выходе;Concentration at the output;输出浓度
гидростатический напор, м;Hydrostatic head, m;静水压头，米
плотность, м³/кг;Density, m³ / kg;密度，立方米/千克
температура на выходе, c;Outlet temperature, C;出口温度，C
давление на входе, с;Inlet pressure, C;入口压力，C
расход греющего пара, т/ч;Heating steam consumption, t / h;加热蒸汽消耗量，t/h
энтальпия греющего пара, ккал/к;Enthalpy of heating steam, kcal / kg;加热蒸汽的热函，kcal/kg
давление в баке, ата;Pressure in the tank, ata;罐内压力，ata
температура в баке, с;Temperature in the tank, C;罐内温度，C
энтальпия конденсата, ккал/к;The enthalpy of condensate, kcal / kg;冷凝水的热函，kcal/kg
расход воды через трубчатку, т/;Water flow through the tube, t /;通过管子的水流量，t/
гидравлическое сопротивление в трубчатке, кг;Hydraulic resistance in the tube, kgf;管内液压阻力，kgf
скорость воды в трубках, м/с;Water velocity in tubes, m / s;管内水流速度，m/s
температура воды на выходе, с;Outlet water temperature, С;出水温度，С
температурный напор на выходе, с;Temperature discharge head, C;温度排出扬程，C
температурный напор на входе, с;Temperature head at the inlet, C;入口温头，C
общая тепловая нагрузка, мвт;Total heat load, M;总热负荷，M
удельная тепловая нагрузка, квт/м2;Specific heat load, kW / m2;比热负荷，kW/m2
уровень воды, м;Water level, m;水位，米
состояние сборный;Condition prefabricated;预制状态
авария сборный;Accident Prefabricated;事故预制件
питание сборный;Meals for confectionery;糖果膳食
ручная задвижка трр;Manual slide TR;手动滑台 TR
импульсный предохранительный клапан трр;Pulse safety valve TPP;脉冲安全阀TPP
имя управляющего сигнала;Name of the control signal;控制信号名称
уставка открытия;Opening Setting;开启设置
уставка закрытия;Close setting;关闭设置
время открытия, с;Opening time, s;开放时间
время закрытия, с;Closing time, s;关闭时间，s
сборный неисправность;Collective malfunction;集体故障
сборный состояние;Prefabricated state;预制状态
сборный питание;Prefabricated food;预制食品
перепад давления;Pressure drop;压力下降
мощность на валу;Power on the shaft;轴上通电
насос с приводом трр;Pump with drive TPP;带驱动器 TPP 的泵
мощность по каналу;Power through the channe;通过通道供电
насос с гидроприводом в сборе тр;Pump with hydraulic drive assembly TP;带液压驱动组件 TP 的泵
насос с электроприводом трр в сбор;Pump with electric drive TPP assembly;带电驱动 TPP 组件的泵
механическая мощность;Mechanical power;机械功率
момент двигателя;Engine torque;发动机扭矩
мощность генератора;Generator power;发电机功率
масса 1-го объёма;Weight of 1-st volume;第一卷重量
масса 2-го объёма;Weight of 2nd volume;第二卷重量
масса 3-го объёма;Mass of the 3rd volume;第三卷质量
масса гелия;The mass of helium;氦气的质量
энтальпия 2-го объёма, ккал/к;Enthalpy of the 2nd volume, kcal / kg;第二体积的焓，kcal/kg
энтальпия 3-го объёма, ккал/к;Enthalpy of the third volume, kcal / kg;第三体积热函，kcal/kg
энтальпия гелия;Helium enthalpy;氦气焓
давление в ко;Pressure in the KO;KO中的压力
дифференциал давления;Differential pressure;不同的压力
расход пара через предхр. клапа;Steam flow through the pref. valv;蒸汽流经预选区。阀门
расход гелия через предохр. клапа;The consumption of helium through fog. valve;通过雾消耗氦气。阀门
состояние клапана;Valve stat;阀门状态
количество тепла подв. к 1-му объём;Amount of heat. to the 1st volum;热量。到第一卷
количество тепла подв. к 2-му объём;Amount of heat. to the 2nd volum;热量。到第二卷
энтальпия вытекающего теплоносител;The enthalpy of the effluent coolant;流出冷却剂的焓
конц. бора в 2-м объёме;Conc. boron in the 2nd volum;浓度第二卷中的硼
гидростатический напор 1-го объёма;Hydrostatic head of 1st volume;第一卷静水压头
суммарная масса воды в ко;Total water mass in the KO;KO 中的总水质量
масса пвс;Weight of PVA;聚乙烯醇重量
температура пара;Steam temperature;蒸汽温度
энтальпия 3-го объёма, ккла/к;Enthalpy of the third volume, kg / kg;第三体积的焓，kg/kg
давление в ко, кгс/см²;Pressure in KO, kgf / cm;压力 (KO)，kgf/cm
энтальпия вытекающего теплоносителя, ккал/к;Enthalpy of effluent coolant, kcal / k;流出冷却液的热函，kcal/k
гидростатический напор 1-го объёма,;Hydrostatic head of 1-st volume, m;第一体积静水头，m
температура пара, с;Steam temperature, С;蒸汽温度，С
плотность;Density;密度
температура поверхности стенки;Surface temperature of the wall;墙壁表面温度
температура в центре стенк;Temperature in the center of the wall;墙体中心温度
коэффициент теплоотдачи;Coefficient of heat transfer;传热系数
удельный тепловой поток;Specific heat flo;比热流
мощность расходная (трубчатка), мвт;Power consumption (tubular), MW;功耗（管式），MW
dp (трубчатка), атм;dP (tube), at;dP（管），在
температура на входе (трубчатка);Inlet temperature (tube;入口温度（管
температура на выходе (трубчатка);Outlet temperature (tube;出口温度（管
мощность расходная (межтрубье), мв;Power consumption (intertube), MW;功耗（管间），MW
dp (межтрубье), атм;dP (intertube), at;dP（管间），在
температура на входе (межтрубье);Inlet temperature (annulus;入口温度（环空
температура на выходе (межтрубье);Outlet temperature (intertube);出口温度（内管）
теплообменник кожухотрубный чужая трубчатка тип 1 трр;Heat exchanger shell-and-tube foreign tube type 1 TPP;换热器管壳式外管 1 型 TPP
мощность расходная, мвт;Power consumption, MW;功耗，兆瓦
dp, атм;dP, atm;dP、大气压
температура на входе;Inlet temperature;入口温度
температура на выходе;Outlet temperature;出口温度
расход пара в конденсатор, т/;Steam flow rate to the condenser, t /;进入冷凝器的蒸汽流量，t /
энтальпия пара в конденсатор, ккал/кг;The enthalpy of steam in the condenser, kcal / kg;冷凝器中蒸汽的热函，kcal/kg
давление в конденсаторе, ата;Pressure in the condenser, ata;冷凝器中的压力，ata
температура в конденсаторе, с;Temperature in the condenser, C;冷凝器中的温度，C
расход охлаждающей воды, т/ч;Cooling water consumption, t / h;冷却水消耗量，t/h
гидравлическое сопротивление по охлаждающей воде, кг;Hydraulic resistance to cooling water, kgf;冷却水水压阻力，kgf
скорость охлаждающей воды в трубках, м/;Cooling water velocity in tubes, m / s;管内冷却水流速，m/s
температура охлаждающей воды на входе, с;Cooling water temperature at the inlet, C;冷却水入口温度，C
температура охлаждающей воды на выходе,;Cooling water temperature at the outlet,;冷却水出口温度，
средний коэффициент теплопередачи, вт/м2*;Average heat transfer coefficient, W / m2 * K;平均传热系数，W/m2*K
