Источники   ;   Sources   ;   来源
Скорость перемещения штока второй ступени относительно штока первой ступени, м/сL   ;   Travel speed of the second stage stem relative to the first stage rod, m / s1   ;   第二级阀杆相对于第一级杆的行程速度，m/s1
Объемный расход рабочей среды через клапан, л/мин8   ;   Volume flow of working medium through the valve, l / min   ;   通过阀门的工作介质体积流量，l/min
Перемещение золотника клапана, м   ;   Movement of valve spool, m4   ;   阀芯移动量，m4
Объемный расход рабочей среды через линию P-B, л/мин   ;   Volume flow of working medium through the line P-B, l / min4   ;   通过管路 P-B 的工作介质体积流量，l/min4
Объемный расход рабочей среды через линию P-T, л/мин   ;   Volume flow of working medium through the P-T line, l / min4   ;   通过P-T管路的工作介质体积流量，l/min4
Объемный расход рабочей среды через линию B-T, л/мин   ;   Volume flow of working medium through the line B-T, l / min   ;   通过 B-T 管路的工作介质体积流量，l/min
Управляющий сигнал №1   ;   Control signal No.1   ;   控制信号1号
Управляющий сигнал №2   ;   Control signal No.20   ;   20号控制信号
Абсолютное давление рабочей среды в полости, МПа   ;   Absolute pressure of the working medium in the cavity, MPa   ;   腔内工作介质绝对压力，MPa
Объемная подача насоса, л/мин   ;   Volumetric pump feed, l / min   ;   泵进料容积，升/分钟
Объемный расход утечки, л/мин   ;   Volumetric leakage rate, l / min   ;   体积泄漏率，升/分钟
Момент на валу, Н/м   ;   Moment on the shaft, N / m   ;   轴上力矩，N/m
Массовая подача насоса, кг/с   ;   Mass flow of the pump, kg / s   ;   泵的质量流量，kg/s
Давление   ;   Pressure   ;   压力
Тепловой поток, идущий на стабилизацию температуры в полости, Вт7   ;   Heat flow to stabilize the temperature in the cavity, W   ;   稳定腔内温度的热流，W
Сила, создаваемая давлением газа, Н(   ;   The force created by the gas pressure, H   ;   气体压力 H 产生的力
Сила, создаваемая давлением жидкости, Н   ;   The force created by the fluid pressure, H   ;   流体压力产生的力 H
Тепловой поток между рассматриваемыми телами/средами, Дж/с   ;   The heat flux between the bodies / media in question, J / s)   ;   相关物体/介质之间的热通量，J/s)
Температура более нагретого тела/среды, К3   ;   The temperature of the more heated body / medium, K)   ;   受热体/介质的温度，K)
Температура менее нагретого тела/среды, К3   ;   The temperature of the less heated body / medium, K   ;   受热较小的物体/介质的温度，K
Средняя температура тела, К   ;   Average body temperature, K9   ;   平均体温，K9
Удельная изохорная теплоемкость материала тела, Дж/(кг*К)   ;   Specific isochoric heat capacity of body material, J / (kg * K)   ;   本体材料等容比热容，J/(kg*K)
Сила Кулонова трения, Н   ;   The force of the Coulomb friction, H   ;   库仑摩擦力，H
Перемещение механического элемента, м   ;   Movement of a mechanical element, m0   ;   机械元件的运动，m0
Скорость перемещения механического элемента, м/с0   ;   Speed of moving of a mechanical element, m / s   ;   机械元件的移动速度，m/s
Массовый расход рабочей среды, кг/с   ;   Mass flow of working medium, kg / s   ;   工作介质质量流量，kg/s
Объемный расход рабочей среды, л/мин   ;   Volume flow of working medium, l / min7   ;   工作介质体积流量，l/min7
Абсолютное давление рабочей среды на входе дросселя, ПаA   ;   Absolute pressure of the working medium at the throttle input, Pa8   ;   节流输入处工作介质的绝对压力，Pa8
Абсолютное давление рабочей среды на выходе дросселя, ПаB   ;   Absolute pressure of the working medium at the throttle output, Pa   ;   节流输出处工作介质的绝对压力，Pa
Плотность жидкости на входе дросселя, кг/м^3B   ;   The density of the liquid at the inlet of the throttle, kg / m ^ 34   ;   节流进口处液体的密度，kg/m^34
Эффективная площадь проходного сечения дросселя, м^2   ;   Effective area of throttle passage, m ^ 2   ;   节流通道有效面积，m^2
Коэффициент расхода дросселя   ;   Throttle factor1   ;   节流系数1
Число Рейнольдса для потока в дросселирующей щели6   ;   The Reynolds number for the flow in the throttling gap8   ;   节流间隙中流动的雷诺数8
Абсолютное давление рабочей среды на входе дросселя, МПа   ;   Absolute pressure of working medium at throttle input, MPa9   ;   节流输入处工作介质绝对压力，MPa9
Абсолютное давление рабочей среды на выходе дросселя, МПа   ;   Absolute pressure of the working medium at throttle output, MPa   ;   节流输出处工作介质绝对压力，MPa
Коэффициент расхода   ;   Flow rate   ;   流量
Массовый расход рабочей среды через канал, кг/с7   ;   Mass flow of working medium through the channel, kg / s   ;   通过通道的工作介质的质量流量，kg/s
Абсолютное давление рабочей среды во входном сечении канала, МПаP   ;   Absolute pressure of the working medium in the inlet section of the channel, MPa   ;   通道入口段工作介质绝对压力，MPa
Абсолютное давление рабочей среды в выходном сечении канала, МПаQ   ;   Absolute pressure of the working medium in the outlet section of the channel, MPa8   ;   通道出口段工作介质绝对压力，MPa8
Температура рабочей среды во входном сечении канала, КL   ;   The temperature of the working medium in the inlet section of the channel, K   ;   通道入口段工质温度，K
Фактическое отношение статических давлений   ;   The actual ratio of static pressures   ;   实际静压比
Критическое отношение статических давлений   ;   Critical ratio of static pressures   ;   临界静压比
Ускорение механического элемента, м/с^2   ;   Acceleration of a mechanical element, m / s ^ 22   ;   机械元件的加速度，m/s^22
Массовый расход рабочей среды через дроссель, кг/с8   ;   Mass flow of working medium through the throttle, kg / s   ;   通过节流阀的工作介质质量流量，kg/s
Температура рабочей среды на входе дросселя, К   ;   Working medium temperature at throttle input, K   ;   节流输入处的工作介质温度，K
Фактическое отношение давлений на дросселе   ;   Actual pressure ratio on throttle   ;   节气门实际压力比
Критическое отношение давлений на дросселе   ;   Critical ratio of pressure on the throttle5   ;   节气门上的临界压力比5
Эффективная площадь проходного сечения дросселя, мм^2   ;   Effective area of throttle passage, mm ^ 2N   ;   节流通道有效面积，mm^2N
Положение регулирующего элемента относительно закрытого положения дросселя, ммZ   ;   Position of the regulating element with respect to the closed position of the throttle, mm   ;   调节元件相对于节气门关闭位置的位置，mm
Вид процесса   ;   Process type2   ;   工艺类型2
Абсолютное давление рабочей среды в полости p, МПа8   ;   Absolute pressure of the working medium in cavity p, MPa   ;   腔内工作介质绝对压力p，MPa
Термодинамическая температура рабочей среды в полости T, КF   ;   The thermodynamic temperature of the working medium in the cavity T, K   ;   腔内工作介质的热力学温度T、K
Потенциал узла   ;   Node potential   ;   节点潜力
Начальный потенциал   ;   Initial potential   ;   初始潜力
Начальный ток   ;   Starting current   ;   启动电流
Ток   ;   Current   ;   当前的
Потенциал выхода   ;   Output potential   ;   输出电位
Сопротивление   ;   Resistance   ;   反抗
Индуктивность   ;   Inductance   ;   电感
Начальный ток, А   ;   Starting current, A   ;   启动电流，A
Начальная разность потенциалов   ;   Initial potential difference   ;   初始电位差
Ёмкость   ;   Capacity   ;   容量
Перепад напряжений, В   ;   Differential stresses, V   ;   差应力，V
Сопротивление утечки   ;   Resistance to leakage   ;   耐漏电
Ток насыщения   ;   Saturation current   ;   饱和电流
Потенциал перехода   ;   Transition potential   ;   转型潜力
Начальное напряжение узла   ;   Initial node voltage   ;   初始节点电压
Напряжение   ;   Voltage   ;   电压
Период дискретности   ;   Period of discreteness   ;   离散时期
Максимальное значение сигнала при котором наступает насыщение   ;   The maximum value of the signal at which saturation occurs   ;   发生饱和时信号的最大值
Сопротивление цепи ротора, Ом   ;   Resistance of the rotor circuit, Ohm   ;   转子电路的电阻，欧姆
Индуктивность цепи ротора, Гн   ;   Inductance of the rotor circuit, H   ;   转子电路的电感，H
Моментный к-т   ;   Momentary to-t   ;   瞬间到-t
К-т противо-ЭДС   ;   Counter-emf station0   ;   反电动势站0
Момент инерции, приведённый к валу ротора кг*м^2   ;   The moment of inertia, brought to the rotor shaft kg * m ^ 2   ;   传递给转子轴的转动惯量 kg * m ^ 2
Начальный угол поворота ротора, рад   ;   The initial angle of rotation of the rotor, rad(   ;   转子的初始旋转角度，rad（
Начальная частота вращения ротора, рад/с   ;   Initial rotor speed, rad / s   ;   转子初始速度，rad/s
Начальный ток в цепи ротора, А   ;   Initial current in the rotor circuit, A   ;   转子电路中的初始电流，A
Дополнительный вывод   ;   Additional output   ;   附加输出
Сопротивление цепи статора, Ом   ;   Resistance of the stator circuit, Ohm   ;   定子电路电阻，欧姆
Взаимная индуктивность, Гн   ;   Mutual inductance, HH   ;   互感，HH
Число полюсов, шт   ;   Number of poles, pcs   ;   极数，个
Число фаз питающего напряжения   ;   Number of phases of supply voltage2   ;   电源电压相数2
Начальное потокосцепление в обмотке q статора, В*с7   ;   The initial flux linkage in the stator winding q, V * s1   ;   定子绕组中的初始磁链 q, V * s1
Начальное потокосцепление в обмотке q ротора, В*с6   ;   The initial flux linkage in the rotor winding q, V * s2   ;   转子绕组中的初始磁链 q, V * s2
Начальное потокосцепление в обмотке d статора, В*с7   ;   The initial flux linkage in the stator winding d, V * s2   ;   定子绕组中的初始磁链 d, V * s2
Начальное потокосцепление в обмотке d ротора, В*с   ;   The initial flux linkage in the winding d of the rotor, V * s   ;   转子绕组 d 中的初始磁链，V * s
Сопротивление обмоток статора, Ом   ;   Resistance of stator windings, Ohm   ;   定子绕组电阻，欧姆
Индуктивность d-обмотки статора, Гн   ;   Inductance of stator d-winding, H   ;   定子 d 绕组电感，H
Индуктивность q-обмотки статора, Гн   ;   Inductance of the stator q-winding, H   ;   定子 q 绕组的电感，H
Магнитный поток от постоянного магнита через обмотки статораA   ;   Magnetic flux from a permanent magnet through the stator windings   ;   来自永磁体的磁通量通过定子绕组
Начальный ток в d-обмотке статора, А   ;   The initial current in the stator winding d, A   ;   定子绕组中的初始电流 d, A
Начальный ток в q-обмотке статора, А0   ;   The initial current in the stator's q-winding, A   ;   定子 q 绕组中的初始电流，A
Сопротивление d-обмотки статора, Ом   ;   Resistance of stator winding d, ohm   ;   定子绕组电阻d，欧姆
Сопротивление q-обмотки статора, Ом   ;   Resistance of stator q-winding, Ohm   ;   定子 q 绕组电阻，欧姆
Сопротивление d-обмотки ротора, Ом   ;   Resistance of d-winding of rotor, Ohm   ;   转子d绕组电阻，欧姆
Сопротивление q-обмотки ротора, Ом   ;   Resistance of the rotor q-winding, Ohm   ;   转子 q 绕组的电阻，欧姆
Индуктивность d-обмотки ротора, Гн   ;   Inductance of the d-winding of the rotor, H   ;   转子 d 绕组的电感，H
Индуктивность q-обмотки ротора, Гн   ;   Inductance of the rotor q-winding, H   ;   转子 q 绕组的电感，H
Взаимная индуктивность обмоток по оси d, Гн2   ;   Mutual inductance of windings along the d axis, HH   ;   沿 d 轴的绕组互感，HH
Взаимная индуктивность обмоток по оси q, Гн2   ;   Mutual inductance of windings along the q axis, Hn   ;   沿 q 轴的绕组互感，Hn
Начальное P1   ;   Initial P1   ;   初始P1
Начальное P2   ;   Initial P2   ;   初始P2
Начальное P3   ;   Initial P3   ;   初始P3
Начальное P4   ;   Initial P4   ;   初始P4
Передаточное число   ;   Gear ratio   ;   齿轮比
Момент инерции нагрузки, кг*м^2   ;   The moment of inertia of the load, kg * m ^ 2   ;   负载转动惯量，kg * m ^ 2
Половина величины люфта, рад   ;   Half of the clearance, rad   ;   一半间隙，rad
К-т жёскости упругого элемента, Н*м3   ;   К-т of the elasticity of the elastic element, Н * м   ;   К-т 弹性元件的弹性，Н * м
К-т трения, Н*м*с   ;   К-т friction, Н * м * с   ;   摩擦力设定，N * m * s
Начальный угол поворота вала нагрузки, рад0   ;   Initial angle of rotation of the load shaft, rad   ;   负载轴初始旋转角度，rad
Начальная частота вращения вала нагрузки, рад/с   ;   Starting frequency of the load shaft, rad / s   ;   负载轴启动频率，rad/s
К-т вязкого трения в упругости, Н*м*с   ;   K-t viscous friction in elasticity, H * m * s   ;   K-t 弹性粘性摩擦力，H * m * s
Момент сухого трения в упругости, Н*м   ;   The moment of dry friction in elasticity, N * m   ;   弹性干摩擦力矩，N * m
К-т вязкого трения на выходном валу, Н*м*с3   ;   К-т viscous friction on the output shaft, Н * м * с   ;   К-т 输出轴上的粘性摩擦，Н * м * с
Момент сухого трения на выходном валу, Н*м5   ;   The moment of dry friction on the output shaft, N * m)   ;   输出轴上的干摩擦力矩，N*m)
Начальный угол скручивания упругости, рад0   ;   The initial angle of twisting of elasticity, rad   ;   弹性扭转初始角度，rad
Количество звеньев   ;   Number of links   ;   链接数量
Типы звеньев (0 - вращ., 1 - пост.)(   ;   Types of links (0 - rotation, 1 - post.)   ;   链接类型（0 - 旋转，1 - 帖子。）
Начальные координаты (Qi,Di) [рад,м])   ;   The initial coordinates (Qi, Di) [rad, m]   ;   初始坐标 (Qi, Di) [rad, m]
Начальные скорости [рад/c,м/с]   ;   Initial speeds [rad / s, m / s]   ;   初始速度 [rad/s, m​​/s]
Параметр Ai [м]   ;   Parameter Ai [m]   ;   参数 Ai [m]
Параметр Alfai [рад]   ;   Parameter Alfai [rad]   ;   参数 Alfai [rad]
Параметр  Di [м]-вращ,Qi [рад]-пост)   ;   The parameter Di [m] -vor, Qi [rad] -post   ;   参数 Di [m] -vor, Qi [rad] -post
Момент инерции Jxx [кг*м^2](отн пл Y0Z)1   ;   The moment of inertia Jxx [kg * m ^ 2] (ref. Y0Z)   ;   转动惯量 Jxx [kg * m ^ 2]（参考 Y0Z）
Момент инерции Jyy [кг*м^2](отн пл X0Z)1   ;   The moment of inertia Jyy [kg * m ^ 2] (rel. X0Z)   ;   转动惯量 Jyy [kg * m ^ 2]（相对 X0Z）
Момент инерции Jzz [кг*м^2](отн пл X0Y)1   ;   The moment of inertia Jzz [kg * m ^ 2] (rel. X0Y)(   ;   转动惯量 Jzz [kg * m ^ 2] (rel. X0Y)(
Центробежный момент инерции Jxz [кг*м^2]2   ;   The centrifugal moment of inertia Jxz [kg * m ^ 2](   ;   离心转动惯量Jxz[kg*m^2](
Центробежный момент инерции Jyz [кг*м^2]2   ;   The centrifugal moment of inertia Jyz [kg * m ^ 2]   ;   离心转动惯量Jyz[kg*m^2]
Центробежный момент инерции Jxy[кг*м^2]2   ;   The centrifugal moment of inertia Jxy [kg * m ^ 2]   ;   离心转动惯量Jxy[kg*m^2]
Статический момент Sx [кг*м]   ;   Static moment Sx [kg * m]   ;   静力矩 Sx [kg * m]
Статический момент Sy [кг*м]   ;   Static moment Sy [kg * m]   ;   静力矩 Sy [kg * m]
Статический момент Sz [кг*м]   ;   Static moment Sz [kg * m]   ;   静力矩 Sz [kg * m]
Массы звеньев M [кг]   ;   Weights of links M [kg](   ;   链节重量 M [kg](
Направление и величина вектора g [м/с^2]7   ;   The direction and magnitude of the vector g [m / s ^ 2]   ;   向量g的方向和大小[m/s^2]
Номинальные обороты двигателя, 1/мин   ;   Rated engine speed, 1 / min   ;   发动机额定转速，1/分钟
Мощность двигателя, кВт   ;   Engine power, kW   ;   发动机功率，千瓦
Рабочий ток двигателя, А   ;   Operating current of the motor, A   ;   电机工作电流，A
Напряжение на двигателе, В   ;   Voltage on the motor, V   ;   电机电压，V
Сопротивление обмотки двигателя, кОм   ;   Resistance of the motor winding, kOhm(   ;   电机绕组电阻，kOhm(
Индуктивное сопротивление двигателя, кОм   ;   Inductive resistance of the motor, kOhm(   ;   电机感抗，kOhm(
Величина рабочего момента двигателя, Н*м8   ;   The magnitude of the working torque of the engine, N * m   ;   发动机工作扭矩的大小，N*m
Постоянная времени усилителя мощности, сек   ;   Time constant of the power amplifier, s   ;   功率放大器的时间常数，s
Коэффициент усиления мощности   ;   Power gain factor   ;   功率增益因数
Передаточное число редуктора   ;   Gear ratio   ;   齿轮比
Момент инерции нагрузки, Н*м(   ;   The moment of inertia of the load, N * m   ;   负载转动惯量，N * m
Kdp датчика   ;   Kdp sensor   ;   Kdp传感器
Kds датчика   ;   Kds Sensor   ;   Kds传感器
Kdt датчика   ;   Kdt sensor   ;   Kdt传感器
Krt регулятора   ;   Krt regulator   ;   KRT调节器
Krs регулятора   ;   Krs regulator   ;   KRS调节器
Trs регулятора   ;   Trs regulator   ;   调节器
Krp регулятора   ;   Krp controller(   ;   KRP控制器（
Коэффициент упругости передачи, Н*м/ рад6   ;   Coefficient of elasticity of transmission, N * m / rad>   ;   传输弹性系数，N*m/rad>
Кожффициент потерь на внутреннее неупругое соединение, Н*м/рад   ;   The loss factor for the internal inelastic compound, N * m / rad   ;   内部非弹性化合物的损耗因数，N * m / rad
Максимальный угол поворота   ;   Max. Rotation angle   ;   最大限度。旋转角度
Характерный объём насоса (м/рад)   ;   Typical volume of the pump (m / rad)   ;   泵的典型容积（m/rad）
Коэффициент утечек в дренаж   ;   Coefficient of leakage to drainage   ;   排水系统渗漏系数
Коэффициент пертечек между полостями0   ;   Cohort permeability coefficient between cavities   ;   空腔之间的群组渗透系数
Тип насоса   ;   Pump type   ;   泵型
Модуль объёмной упругости РЖ   ;   Modulus of bulk elasticity   ;   体积弹性模量
Объём 1-й полости   ;   Volume of the 1st cavity   ;   第一腔体容积
Объём 2-й полости   ;   Volume of the 2nd cavity   ;   第二腔体容积
Максимальное давление   ;   Maximum pressure   ;   最大压力
Минимальное давление   ;   Minimum pressure   ;   最小压力
Начальный объём сжатия 1   ;   Initial compression volume 1   ;   初始压缩量1
Начальный объём сжатия 2   ;   Initial compression volume 2   ;   初始压缩量2
Коэффициент мёртвого объёма   ;   The coefficient of dead volume   ;   死体积系数
Максимальное давление, Па   ;   Maximum pressure, Pa   ;   最大压力，Pa
Минимальное давление, Па   ;   Minimum pressure, Pa   ;   最小压力，Pa
Модуль объёмной упругости   ;   The bulk modulus   ;   体积模量
Объём полости   ;   Cavity volume   ;   腔体容积
Начальный объём сжатия   ;   Initial compression volume   ;   初始压缩量
Коэффициент статической эластичности   ;   Coefficient of static elasticity   ;   静弹性系数
Коэффициент динамической эластичности   ;   The coefficient of dynamic elasticity   ;   动弹性系数
Момент инерции вала и передачи   ;   Moment of inertia of the shaft and transmission   ;   轴和传动装置的转动惯量
Коэффициент момента нагрузки   ;   Load torque factor   ;   负载扭矩系数
Момент трения на валу   ;   Moment of friction on the shaft   ;   轴上的摩擦力矩
Максимальный момент   ;   Maximum torque   ;   最大扭矩
Начальный момент   ;   Starting point   ;   起点
Максимальное значение управляющего воздействия   ;   The maximum value of the control action   ;   控制动作的最大值
Максимальное значение скорости   ;   Max. Speed   ;   最大限度。速度
Максимальное значение координаты   ;   The maximum value of the coordinate   ;   坐标最大值
Передаточный коэффициент   ;   Transfer Factor   ;   转移因子
Постоянная времени   ;   Time constant   ;   时间常数
Коэффициент относительного затухания   ;   Coefficient of relative attenuation   ;   相对衰减系数
Начальная координата   ;   Initial coordinate   ;   初始坐标
Половина величины люфта   ;   Half of the clearance value   ;   间隙值的一半
Упругость   ;   Elasticity   ;   弹性
Момент трения   ;   Frictional moment   ;   摩擦力矩
Начальный угол упругой деформации   ;   Initial angle of elastic deformation   ;   弹性变形初始角
Минимальный угол поворота   ;   Minimal angle of rotation   ;   最小旋转角度
Ограничение скорости   ;   Speed Limit   ;   速度极限
Передаточный к-т регулятора   ;   Control gear of the regulator   ;   调节器的控制装置
Передаточный к-т насоса   ;   Pump transfer pump   ;   泵输送泵
К-т расхода   ;   Consumption rate   ;   消耗率
Начальный угол поворота   ;   Starting angle of rotation   ;   旋转起始角度
Давление слива   ;   Drain pressure   ;   排水压力
Начальное открытие входных окон   ;   Initial opening of input windows   ;   初始打开输入窗口
Начальное открытие выходных окон   ;   Initial opening of output windows   ;   初始打开输出窗口
Плотность жидкости   ;   Density of a liquid   ;   液体的密度
Диаметр золотника   ;   Spool diameter   ;   线轴直径
Коэффициент использования периметра   ;   Perimeter usage rate   ;   周界使用率
Перекрытие   ;   Overlapping   ;   重叠
Радиальный зазор   ;   Radial clearance   ;   径向间隙
Момент инерции   ;   Moment of inertia   ;   转动惯量
Коэффициент скоростного сопротивления   ;   Coefficient of speed resistance   ;   速度阻力系数
Коэффициент позиционной нагрузки   ;   Positional load factor   ;   位置负载系数
Момент сухого трения   ;   The moment of dry friction   ;   干摩擦力矩
Момент сухого трения при останове(   ;   The moment of dry friction during a stop   ;   停止时的干摩擦力矩
Момент сухого трения при движении)   ;   The moment of dry friction during driving(   ;   行驶过程中的干摩擦力矩（
Ограничение зоны отрицательного движения   ;   Restriction of the zone of negative movement   ;   限制负面活动区域
Давление начала открытия клапана   ;   Opening pressure of the valve   ;   阀门开启压力
Давление рабочего открытия клапана   ;   Working pressure of the valve opening   ;   阀门开启工作压力
Давление полного открытия клапана   ;   Full valve opening pressure   ;   全开阀压力
Расход клапана при давлении pk   ;   Valve flow at pressure pk   ;   压力 pk 下的阀门流量
Максимальный расход клапана   ;   Maximum flow rate of the valve   ;   阀门最大流量
Постоянная времени клапана   ;   Valve time constant   ;   阀门时间常数
Расход клапана при давлении p=pk   ;   Valve flow at a pressure p = pk   ;   压力 p = pk 时的阀门流量
Максимальный расход клапана при p=0   ;   The maximum flow rate of the valve at p = 0   ;   p = 0 时阀门的最大流量
Режим переключения каналов   ;   Channel switching mode   ;   通道切换方式
Режим циклического преобразования   ;   Cyclic Conversion Mode   ;   循环转换模式
Количество каналов   ;   Number of channels   ;   通道数
Размер выходного массива   ;   Output array size   ;   输出数组大小
Размер входного массива   ;   Size of the input array   ;   输入数组的大小
Размер массива   ;   The size of the array   ;   数组的大小
Напряжение питания   ;   Supply voltage   ;   电源电压
Номера пинов   ;   Pin numbers   ;   针脚编号
Тип порта   ;   Type of port   ;   端口类型
Функция   ;   Function   ;   功能
Направление ввода   ;   Direction Input   ;   方向输入
Порт   ;   Port   ;   港口
Размер массива входных данных   ;   The size of the array of input data   ;   输入数据数组的大小
Адрес приемника\источника данных   ;   Receiver / data source address   ;   接收者/数据源地址
Канал DMA   ;   DMA channel   ;   DMA通道
Автоувеличение адреса для источника   ;   Auto-increment of source address   ;   源地址自动递增
Автоувеличение адреса для приемника   ;   Auto-increment the address for the receiver   ;   自动增加接收者的地址
Размер посылки   ;   The size of the parcel   ;   包裹尺寸
Использовать прерывание   ;   Use interrupt   ;   使用中断
Запрос к DMA   ;   Request for DMA   ;   请求 DMA
Номера каналов   ;   Channel numbers   ;   频道数
Заполнение импульса канала 1   ;   Filling a channel 1 pulse   ;   填充一个通道1个脉冲
Заполнение импульса канала 2   ;   Filling of channel 2 pulse   ;   通道2脉冲填充
Заполнение импульса канала 3   ;   Filling the channel 3 pulse   ;   填充通道3脉冲
Предделитель частоты   ;   Frequency preamplifier)   ;   频率前置放大器）
Формат выроботки сигнала REF в режиме ШИМ2   ;   The format of the REF signal digestion in PWM mode   ;   PWM模式下REF信号消化的格式
Включить прерывание   ;   Enable interrupt   ;   允许中断
Режим основного счетчика   ;   Main Counter Mode   ;   主计数器模式
Заполнение импульсами канала 4   ;   Pulse Fill Channel 4   ;   脉冲填充通道 4
Использовать опрос АЦП каналов   ;   Use a poll of ADC channels   ;   使用 ADC 通道轮询
Количество каналов АЦП   ;   Number of ADC channels   ;   ADC 通道数
Выбор контроллеров АЦП   ;   Selection of ADC controllers   ;   ADC 控制器的选择
Запрос на выполнения операции DMA   ;   Request for DMA operation   ;   请求 DMA 操作
Размер массива (количество элементов)   ;   Array size (number of elements)   ;   数组大小（元素数量）
Фильтр   ;   Filter   ;   筛选
Таймер   ;   Timer   ;   计时器
Прием собственных пакетов   ;   Receiving your own packages   ;   接收您自己的包裹
Подтверждение собственных пакетов   ;   Confirming your own packages   ;   确认您自己的包裹
Режим самотестирования   ;   Self-test mode   ;   自检模式
Режим «Только прием»   ;   Reception Only Mode   ;   仅接收模式
Значение размера фазы PSEG   ;   PSEG phase size value   ;   PSEG相尺寸值
Значение размера фазы SEG1   ;   The value of the SEG1 phase size   ;   SEG1相尺寸的值
Значение размера фазы SEG2   ;   The value of the SEG2 phase size   ;   SEG2相尺寸的值
Значение размера фазы SJW   ;   SJW phase size value   ;   SJW相尺寸值
Семплирование   ;   Sampling   ;   采样
Предделитель системной частоты   ;   System frequency preamplifier   ;   系统频率前置放大器
Тип идентификатора   ;   Type of identifier   ;   标识符类型
Длинна сообщения   ;   Message length   ;   消息长度
Приоритет сообщения   ;   Message Priority   ;   消息优先级
Идентификатор   ;   Identifier   ;   标识符
Номер буфера   ;   Buffer number   ;   缓冲器数量
Фильтер ID   ;   Filter ID   ;   过滤器ID
Маска   ;   Mask   ;   面具
Перезапись приемного буфера   ;   Rewrite the receive buffer   ;   重写接收缓冲区
Цвет линии ресурса ""Не определен"""1   ;   The color of the resource line ""Undetermined   ;   资源线的颜色“”未确定
Цвет линии ресурса ""Материальная среда"""9   ;   The color of the resource line ""Material Environment   ;   资源线的颜色“材质环境”
Цвет линии ресурса ""Электрическая мощность"""3   ;   The color of the resource line ""Electric power   ;   资源线颜色“”电力
Цвет линии ресурса ""Механическая сила   ;   Resource Line Color ""Mechanical Strength   ;   资源线颜色“”机械强度
Цвет линии ресурса ""Информация   ;   Line color of the ""Information"" resource   ;   “信息”资源的线条颜色
Цвет линии ресурса ""Функция   ;   The color of the resource line ""Function   ;   资源线的颜色“”功能
Цвет линии ресурса ""Теплообмен   ;   Resource line color ""Heat exchange"""   ;   资源线颜色““热交换””“
Тип расчёта (в статическом расчёте параметры роторов, баков и зазоров, вычисляемые как системы ОДУ, отдельные от теплогидравлической схемы, не пересчитываются)»   ;   Type of calculation (in the static calculation, the parameters of the rotors, tanks and gaps, calculated as ODE systems, separate from the thermal-hydraulic circuit, are not recalculated)   ;   计算类型（在静态计算中，转子、油箱和间隙的参数，作为 ODE 系统计算，与热工液压回路分开，不重新计算）
Начальное время расчёта, с   ;   The initial calculation time, s   ;   初始计算时间，s
Конечное время расчёта, с   ;   Final settlement time, s   ;   最终结算时间，s
Минимальный шаг интегрирования, с   ;   The minimum integration step, s   ;   最小积分步长，s
Максимальный шаг интегрирования, с   ;   The maximum integration step, s   ;   最大积分步长，s
Начальный шаг интегрирования, с   ;   The initial step of integration, with   ;   整合的第一步是
Точность расчёта   ;   Accuracy of calculation   ;   计算精度
Шаг синхронизации, с   ;   Synchronization step, s   ;   同步步长，s
Точная синхронизация   ;   Precise synchronization   ;   精确同步
Теплоносители   ;   Heat transfer media   ;   传热介质
Системные настройки   ;   System settings   ;   系统设置
Удалённый расчёт   ;   Remote account   ;   远程账户
Тонкие настройки   ;   Thin settings   ;   精简设置
Примеси   ;   Impurities6   ;   杂质6
Относительная ошибка по концентрации пассивной примеси0   ;   Relative error in passive impurity concentration   ;   被动杂质浓度相对误差
Относительная ошибка по давлению   ;   Relative error in pressure   ;   压力相对误差
Относительная ошибка по энтальпии   ;   The relative enthalpy error   ;   相对焓误差
Относительная ошибка по температуре стенки   ;   Relative error in wall temperatureM   ;   壁温相对误差M
Способ расчета теплофизических свойств (для таблично заданных теплоносителей)N   ;   Method for calculating thermophysical properties (for tabulated heat carriers)   ;   热物性计算方法（表列热载体）
Основной теплоноситель   ;   Primary coolant   ;   主冷却液
Основной газ   ;   Basic gas   ;   碱性气体
Способ расчёта свойств воды IAPWS4   ;   Method for calculating the properties of water IAPWS3   ;   水性质计算方法IAPWS3
Концентрация гелия в смеси (для теплоносителя HeXe)   ;   The concentration of helium in the mixture (for HeXe coolant)v   ;   混合物中氦气的浓度（对于氦气冷却剂）v
Пользовательская папка с таблицами свойств материалов и характеристик оборудования (относительно расположения проекта)j   ;   Custom folder with material properties and equipment characteristics tables (relative to project location)   ;   包含材料属性和设备特性表的自定义文件夹（相对于项目位置）
Файл исходных данных   ;   Source file   ;   源文件
Имя отдельного файла рестарта решателя   ;   The name of the individual solver restart file   ;   各个解算器重新启动文件的名称
Адрес расчётного сервера   ;   Calculation server addressF   ;   计算服务器地址F
Учитывать изменение площадей и объёмов от давления в процессе решения?L   ;   Consider changes in areas and volumes from pressure in the solution process?1   ;   考虑溶液过程中压力引起的面积和体积的变化吗？1
Учитывать жёсткость стенок каналов и узлов dS/dP?B   ;   Consider the stiffness of the walls of channels and dS / dP nodes?1   ;   考虑通道壁和 dS / dP 节点的刚度？1
Множитель для членов компенсации дисбаланса массыA   ;   The multiplier for the members of the mass imbalance compensation5   ;   质量不平衡补偿成员的乘数5
